Category,Original Text,Corrected Text
spelling,orgnize,organize
spelling,proejcts,j
slang,idk,I don't know
slang,shud,should
spelling,microservices,mic
spelling,non-blocking,locking
spelling,[spelling],spelling
spelling,orgnize,organize
spelling,[spelling],spelling
spelling,proejcts,j
spelling,[slang],slang
slang,idk,I don't know
spelling,[slang],slang
slang,shud,should
spelling,[spelling],spelling
spelling,microservices,mic
spelling,[grammar],grammar
spelling,[jargon],jargon
spelling,non-blocking,locking
spelling,"""words_before"":",ore
spelling,"17,",1
spelling,"""words_after"":",or
spelling,"20,",0
spelling,"""num_changes"":",ang
spelling,"7,",7
spelling,"""by_category"":",ate
spelling,"""spelling"":",spelling
spelling,"3,",3
spelling,"""slang"":",slang
spelling,"2,",2
spelling,"""contraction"":",contraction
spelling,"0,",0
spelling,"""grammar"":",grammar
spelling,"1,",1
spelling,"""jargon"":",jargon
grammar,an we,and we
jargon,asynchronous,non-blocking
