Category,Original Text,Corrected Text
spelling,orgnize,organize
spelling,proejcts,e
slang,idk,I don't know
slang,shud,should
spelling,microservices,services
spelling,non-blocking,kin
spelling,[spelling],spelling
spelling,orgnize,organize
spelling,[spelling],spelling
spelling,proejcts,e
spelling,[slang],slang
slang,idk,I don't know
spelling,[slang],slang
slang,shud,should
spelling,[spelling],spelling
spelling,microservices,services
spelling,[grammar],grammar
spelling,[jargon],jargon
spelling,non-blocking,kin
spelling,"""words_before"":",ef
spelling,"17,",1
spelling,"""words_after"":",aft
spelling,"20,",0
spelling,"""num_changes"":",change
spelling,"7,",7
spelling,"""by_category"":",at
spelling,"""spelling"":",spelling
spelling,"3,",3
spelling,"""slang"":",slang
spelling,"2,",2
spelling,"""contraction"":",contraction
spelling,"0,",0
spelling,"""grammar"":",grammar
spelling,"1,",1
spelling,"""jargon"":",jargon
grammar,an we,and we
jargon,asynchronous,non-blocking
