Category,Original Text,Corrected Text
spelling,orgnize,organize
spelling,proejcts,roe
slang,idk,I don't know
slang,shud,should
spelling,microservices,ser
spelling,non-blocking,ki
spelling,[spelling],spelling
spelling,orgnize,organize
spelling,[spelling],spelling
spelling,proejcts,roe
spelling,[slang],slang
slang,idk,I don't know
spelling,[slang],slang
slang,shud,should
spelling,[spelling],spelling
spelling,microservices,ser
spelling,[grammar],grammar
spelling,[jargon],jargon
spelling,non-blocking,ki
spelling,"""words_before"":",fo
spelling,"17,",1
spelling,"""words_after"":",ter
spelling,"20,",2
spelling,"""num_changes"":",changes
spelling,"7,",7
spelling,"""by_category"":",cate
spelling,"""spelling"":",spelling
spelling,"3,",3
spelling,"""slang"":",slang
spelling,"2,",2
spelling,"""contraction"":",contraction
spelling,"0,",0
spelling,"""grammar"":",grammar
spelling,"1,",1
spelling,"""jargon"":",jargon
grammar,an we,and we
jargon,asynchronous,non-blocking
