Category,Original Text,Corrected Text
spelling,orgnize,organize
spelling,proejcts,o
slang,idk,I don't know
slang,shud,should
spelling,microservices,ros
spelling,non-blocking,lock
spelling,[spelling],spelling
spelling,orgnize,organize
spelling,[spelling],spelling
spelling,proejcts,o
spelling,[slang],slang
slang,idk,I don't know
spelling,[slang],slang
slang,shud,should
spelling,[spelling],spelling
spelling,microservices,ros
spelling,[grammar],grammar
spelling,[jargon],jargon
spelling,non-blocking,lock
spelling,"""words_before"":",words
spelling,"17,",1
spelling,"""words_after"":",words
spelling,"20,",2
spelling,"""num_changes"":",nu
spelling,"7,",7
spelling,"""by_category"":",by
spelling,"""spelling"":",spelling
spelling,"3,",3
spelling,"""slang"":",slang
spelling,"2,",2
spelling,"""contraction"":",contraction
spelling,"0,",0
spelling,"""grammar"":",grammar
spelling,"1,",1
spelling,"""jargon"":",jargon
grammar,an we,and we
jargon,asynchronous,non-blocking
