Category,Original Text,Corrected Text
spelling,orgnize,organize
spelling,proejcts,c
slang,idk,I don't know
slang,shud,should
spelling,microservices,rv
spelling,non-blocking,non
spelling,[spelling],spelling
spelling,orgnize,organize
spelling,[spelling],spelling
spelling,proejcts,c
spelling,[slang],slang
slang,idk,I don't know
spelling,[slang],slang
slang,shud,should
spelling,[spelling],spelling
spelling,microservices,rv
spelling,[grammar],grammar
spelling,[jargon],jargon
spelling,non-blocking,non
spelling,"""words_before"":",wo
spelling,"17,",7
spelling,"""words_after"":",wo
spelling,"20,",0
spelling,"""num_changes"":",chang
spelling,"7,",7
spelling,"""by_category"":",te
spelling,"""spelling"":",spelling
spelling,"3,",3
spelling,"""slang"":",slang
spelling,"2,",2
spelling,"""contraction"":",contraction
spelling,"0,",0
spelling,"""grammar"":",grammar
spelling,"1,",1
spelling,"""jargon"":",jargon
grammar,an we,and we
jargon,asynchronous,non-blocking
