Category,Original Text,Corrected Text
spelling,orgnize,organize
spelling,proejcts,o
slang,idk,I don't know
slang,shud,should
spelling,microservices,er
spelling,non-blocking,bloc
spelling,[spelling],spelling
spelling,orgnize,organize
spelling,[spelling],spelling
spelling,proejcts,o
spelling,[slang],slang
slang,idk,I don't know
spelling,[slang],slang
slang,shud,should
spelling,[spelling],spelling
spelling,microservices,er
spelling,[grammar],grammar
spelling,[jargon],jargon
spelling,non-blocking,bloc
spelling,"""words_before"":",wor
spelling,"17,",1
spelling,"""words_after"":",er
spelling,"20,",0
spelling,"""num_changes"":",ng
spelling,"7,",7
spelling,"""by_category"":",at
spelling,"""spelling"":",spelling
spelling,"3,",3
spelling,"""slang"":",slang
spelling,"2,",2
spelling,"""contraction"":",contraction
spelling,"0,",0
spelling,"""grammar"":",grammar
spelling,"1,",1
spelling,"""jargon"":",jargon
grammar,an we,and we
jargon,asynchronous,non-blocking
